Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?,place_id_verification,match_status,match_confidence,match_method,verified_place_id,match_notes
KYU  Noho,KYU NYC,251 Northwest 25th Street,ChIJRUXf9uBZwokR9WS3NBhSjYk,NYC,,Invalid: Partial name match (0.67),MATCHED,1.0,verified_place_id,,Matched to DB row 346
Nom Wah Nolita,Nom Wah Nolita,10 Kenmare St,ChIJLxEbJoZZwokRBgg1pE4COTo,NYC,,Valid: Nom Wah Nolita (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 484
Andros Taverna North Side,Andros Taverna,2542 North Milwaukee Avenue,ChIJWfaiPh_ND4gRaRT5k6Wp24g,NYC,,Valid: Andros Taverna (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 31
Foul Witch Alphabet City,Foul Witch,15 Avenue A,ChIJq6oPsoNZwokR1hGiiD3wy8g,NYC,,Invalid: Address match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 239
Mah-Ze-Dahr Battery Park City,Mah Ze Dahr Brookfield Place,,ChIJU7XySD9bwokRzxnhM1S8uWw,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 418
Please Don't Tell East Village,PDT,113 St Marks Pl,ChIJb67-ZZ1ZwokRRxBYr3GlFp0,NYC,,Valid: Please Don't Tell (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 534
Crif Dogs East Village,Crif Dogs,113 St Marks Pl,ChIJd4cu_9RZwokROtuVsYCgPAE,NYC,,Invalid: Address match (0.81),MATCHED,1.0,verified_place_id,,Matched to DB row 165
Nami Nori Williamsburg,Nami Nori (Williamsburg),33 Carmine Street,ChIJS9NJoSBZwokRW6254XR11Uo,NYC,,Invalid: Name match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 479
Kubeh Greenwich Village,Kubeh,464 6th Ave,ChIJ5fW8U5ZZwokRlk_uZ6uLlgg,NYC,,Invalid: Address match (0.88),MATCHED,1.0,verified_place_id,,Matched to DB row 342
F&F Pizzeria Carroll Gardens,F&F Pizzeria,459 Court Street,ChIJO32xszpbwokRVr_g36taCbI,NYC,,Invalid: Address match (0.86),MATCHED,1.0,verified_place_id,,Matched to DB row 224
Romeos East Village,Romeo’s,118 Saint Marks Pl,ChIJ5dKgkl1ZwokRVaLe0VlqPXg,NYC,,Invalid: Address match (0.83),MATCHED,1.0,verified_place_id,,Matched to DB row 565
Unregular Bakery Punchcard,Unregular Bakery Union Square,,ChIJ52QMLUtZwokRZwW4R7FUo2M,NYC,,Invalid: Partial name match (0.76),MATCHED,1.0,verified_place_id,,Matched to DB row 769
Bobwhite Counter Jersey City,Bobwhite Counter (Jersey City),,ChIJN5aJDSdRwokRYvp9FA96GX4,NYC,,Invalid: Partial name match (0.73),MATCHED,1.0,verified_place_id,,Matched to DB row 93
Anton's West Village,Anton’s,570 Hudson St,ChIJvdgj3uVZwokRDFVNZGAg43U,NYC,,Invalid: Address match (0.87),MATCHED,1.0,verified_place_id,,Matched to DB row 32
Jajaja Mexicana West Village,Jajaja West Village,162 E Broadway,ChIJh-s4YNNZwokRKuwXrP5FHqY,NYC,,Invalid: Partial name match (0.70),MATCHED,1.0,verified_place_id,,Matched to DB row 311
Raku East Village Regulars,Sanraku - Japanese Sushi Restaurant,342 East 6th Street,ChIJ8eEu0JxZwokRNFpDI_HBFmc,NYC,,Invalid: Partial address match (0.77),MATCHED,1.0,verified_place_id,,Matched to DB row 549
Rosemary's West Village,Rosemary's West,350 1st Ave.,ChIJCW5gj5ZZwokRtfK4UZxkcr4,NYC,,Invalid: Partial name match (0.61),MATCHED,1.0,verified_place_id,,Matched to DB row 570
Rancho Lewis NoMo,Rancho Lewis,1503 King St,ChIJhRZB6_B6_ogRzcrTCfdU3aA,CHS,,Valid: Rancho Lewis (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 552
Uncork Wraggborough,Uncork Charleston,476 King St,ChIJBUxFNWp6_ogRbCCh69ktiXo,CHS,,Invalid: Address match (0.85),MATCHED,1.0,verified_place_id,,Matched to DB row 768
Naks East Village,NAKS,201 1st Ave.,ChIJQfYrEfNZwokRFPKHZM6aH4w,NYC,,Invalid: Address match (0.96),MATCHED,1.0,verified_place_id,,Matched to DB row 476
Kwei Fei Riverland Terrace,Beautiful South by Kwei Fei,1977 Maybank Hwy,ChIJ2Y6RTt55_ogR01tw5zmzHJc,CHS,,Invalid: Address match (0.89),MATCHED,1.0,verified_place_id,,Matched to DB row 345
Sea Fire Grill Regulars,Sea Fire Grill,"158 E 48th St, Between 3rd and, Lexington Ave",ChIJpYNIR_1YwokRNMXI4Qk1lwQ,NYC,,Valid: Sea Fire Grill (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 733
Insa Gowanus,Insa,328 Douglass Street,ChIJo-EvNqtbwokRjZnXUY-cyCk,NYC,,Invalid: Address match (0.88),MATCHED,1.0,verified_place_id,,Matched to DB row 301
Lewis Barbecue NoMo,Lewis Barbecue,464 North Nassau Street,ChIJS1r2V196_ogRcfkNioUMYJo,NYC,,Valid: Lewis Barbecue Charleston (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to DB row 376
Melfi's Downtown Charleston,Melfi’s,,ChIJ1-7uvCx7_ogRk997qqBzibY,CHS,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 442
Virginia's East Village,Virginia’s,647 East 11th Street,ChIJVZXlLHdZwokR9Vd3zCwFaqQ,NYC,,Invalid: Partial name match (0.61),MATCHED,1.0,verified_place_id,,Matched to DB row 791
Sip & Guzzle,Sip & Guzzle,"29 Cornelia St, New York, NY",ChIJ49KsB19ZwokR8VwrMbECQr8,NYC,,Valid: Sip&Guzzle (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 605
The Musket Room,Musket Room,265 Elizabeth St,ChIJ3TJ4moVZwokRkyy0hZnv_RA,NYC,,Valid: The Musket Room (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 721
Little Prince South Village,Little Prince,199 Prince St,ChIJ5c-evI1ZwokRhHh6FjhuLH8,NYC,,Valid: Little Prince (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 392
Benjamin Steakhouse Midtown East,Benjamin Steakhouse,,ChIJ3TH9CwFZwokRIvNO1SP0WLg,NYC,,Invalid: Partial name match (0.75),MATCHED,1.0,verified_place_id,,Matched to DB row 71
Alidoro Bryant Park,Alidoro Bryant park,601 Lexington Ave,ChIJFa7a9uFZwokR1JWN1NOyzaM,NYC,,Corrected: ALIDORO (conf: 0.73),MATCHED,1.0,verified_place_id,,Matched to DB row 19
The Alderman Midtown,Alderman,,ChIJFfDd9lVYwokRHprgDkRnHh4,NYC,,Invalid: Partial name match (0.75),MATCHED,1.0,verified_place_id,,Matched to DB row 682
The Daily Inman Park,The Daily (Inman Park),652 B King St,ChIJDdSww0J6_ogRvvj8m1N0UbY,CHS,,Corrected: The Daily Cafe - King St (conf: 0.73),MATCHED,1.0,verified_place_id,,Matched to DB row 700
The Daily (Charleston - King St) Regulars,The Daily (Charleston - King St),,ChIJDdSww0J6_ogRvvj8m1N0UbY,CHS,,Invalid: Partial name match (0.73),NO_MATCH,0.0,,,No confident match found
Ensenada Williamsburg,Ensenada,168 Borinquen Pl,ChIJVQhDBhxbwokRLwobz9lb_qk,NYC,,Invalid: Address match (0.91),MATCHED,1.0,verified_place_id,,Matched to DB row 209
Altair Midtown,Altair,351 W 38th St,ChIJIRWJmBVZwokRZA5hGN68TgA,NYC,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to DB row 25
The Daily (Trabert Ave) Regulars,The Daily (Trabert Ave),,ChIJ721mea0F9YgRprcP8IRu09U,ATL,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 702
Hoseki Midtown,Hoseki,611 5th Ave,ChIJKfbxu2RZwokRZhsCZq_HYTg,NYC,,Invalid: Address match (0.88),MATCHED,1.0,verified_place_id,,Matched to DB row 288
Gotham Burger Social Club Lower East Side,Gotham Burger Social Club,113 Franklin St,ChIJXZ6WJABZwokRDi2X0_3I1Mo,NYC,,Corrected: Gotham Burger Social Club - Greenpoint (conf: 0.81),MATCHED,1.0,verified_place_id,,Matched to DB row 261
Little Jack's Tavern Downtown Charleston,Little Jack's Tavern,710 King Street,ChIJo_sjo1x6_ogRtUDrUtTWli8,CHS,,Valid: Little Jack's Tavern (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 386
The Tippling House Cannonborough,The Tippling House (CHS),221 Coming Street,ChIJ3Smbkrx7_ogR0kLofdrh90s,CHS,,Valid: The Tippling House (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 741
Davey's Ice Cream Moynihan Train Hall,Davey’s Ice Cream (Midtown),,ChIJxwZzzNdZwokRMyNu9LzW1wM,NYC,,Invalid: Partial name match (0.63),MATCHED,1.0,verified_place_id,,Matched to DB row 177
Crave Fishbar Upper West Side,Crave Fishbar UWS,945 2nd Ave,ChIJqztVA4ZYwokRiLK8Lzh7_sk,NYC,,Invalid: Partial name match (0.65),MATCHED,0.95,claude_verified,,Matched to DB row 162
Emmett's SoHo,Emmett's (MacDougal),50 MacDougal St,ChIJqxBUkY1ZwokRM-YtSwwhy1E,NYC,,Valid: Emmett's (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 206
Wild Common,Wild Common,"103 Spring St, Charleston, SC 29403",ChIJzUn6Qi17_ogRX1VX24enKTE,CHS,,Valid: Wild Common (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 795
Fish Cheeks Noho,Fish Cheeks,55 Bond St,ChIJgc7fPIVZwokRQMnqTxTf_Qk,NYC,,Valid: Fish Cheeks (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 229
Bin Bin Sake Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,,Invalid: Partial name match (0.65),MATCHED,1.0,verified_place_id,,Matched to DB row 77
Bin Bin Sake Williamsburg,Bin Bin Sake,29 Norman Ave,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,,Valid: Bin Bin Sake (conf: 0.80),NO_MATCH,0.0,,,No confident match found
Le Rock Rockefeller Center,Le Rock,45 Rockefeller Plaza,ChIJNbTIf5BZwokRjbkuTrLZVB4,NYC,,Invalid: Address match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 373
Raf's SoHo,Raf's,290 Elizabeth Street,ChIJJU-UWk1ZwokRklDKrZ_9EZE,NYC,,Valid: Raf's (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 548
Tolo,Parcelle Wine Bar Group,135 Division Street,ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,,Invalid: Name match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 753
Tolo,Tolo,"28 Canal St, New York, NY 10002",ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,,Valid: Tolo (conf: 1.00),NO_MATCH,0.0,,,No confident match found
8282 Lower East Side,8282,84 Stanton Street,ChIJNaUIchtZwokRHI8Pk3mEz1Y,NYC,,Invalid: Address match (0.87),MATCHED,1.0,verified_place_id,,Matched to DB row 5
Stars Restaurant Radcliffborough,Stars Rooftop & Grill Room,495 King Street,ChIJJxlYSGp6_ogRyfL8KDjhLkg,CHS,,Invalid: Address match (0.85),MATCHED,1.0,verified_place_id,,Matched to DB row 627
The Wooly Nolita,The Wooly,11 Barclay Street,ChIJF_I2YsVZwokRp-Q1focBJpw,NYC,,Invalid: Partial name match (0.72),MATCHED,1.0,verified_place_id,,Matched to DB row 743
Jaffa Williamsburg,Jaffa Cocktail and Raw Bar,,ChIJlcUv3XVZwokRw8iLyOoROxI,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 309
Alidoro The Hugh,Alidoro The Hugh,,ChIJFa7a9uFZwokR1JWN1NOyzaM,NYC,,Invalid: Partial name match (0.61),NO_MATCH,0.0,,,No confident match found
Albert's Bar Murray Hill,Albert’s Bar,140 E 41st St,ChIJTUnFcYpZwokRnDeckKVR3Nw,NYC,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to DB row 13
The Palm Court at The Plaza Hotel Midtown,Palm Court at The Plaza,768 5th Ave,ChIJYaVdffBYwokRCwC_C_S-tbs,NYC,,Invalid: Address match (0.88),MATCHED,0.95,claude_verified,,Matched to DB row 725
Banzarbar Nolita,Banzarbar,191 Chrystie Street,ChIJU74O14VZwokRQ-wPmjfTERE,NYC,,Invalid: Partial name match (0.72),MATCHED,1.0,verified_place_id,,Matched to DB row 49
Maison Premiere Williamsburg,Maison Premiere,298 Bedford Ave,ChIJW_WGT2BZwokRNpvZ4k3lVcs,NYC,,Valid: Maison Premiere (conf: 0.80),NO_MATCH,0.0,,,No confident match found
Gelso & Grand Gelso & Grand,Gelso & Grand,186 Grand St,ChIJS3EpUohZwokReLFKxxE_zKE,NYC,,Valid: Gelso & Grand (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 253
Bonnie's Williamsburg,Bonnie's,398 Manhattan Ave,ChIJbQc9ABZZwokRMAK6C-Ekxg4,NYC,,Invalid: Address match (0.92),MATCHED,1.0,verified_place_id,,Matched to DB row 102
K'Far Williamsburg,K'far,,ChIJ6TIr1bdZwokRwODfMs7T90g,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 327
Parcelle Chinatown,Parcelle Wine Bar,135 Division Street,ChIJI3VG1kxYwokRECoJD1lSvSY,NYC,,Valid: Parcelle Chinatown (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 513
Ambra West Village,Ambra,,ChIJW0-RNpdZwokRQYkOS0HTtwM,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 27
Momofuku (Noodle Bar) - Uptown,Momofuku (Noodle Bar),10 Columbus Cir,ChIJKzLt4dZZwokRbv-Ebx1hBo0,NYC,,Valid: Momofuku Noodle Bar Uptown (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 463
Ace's Pizza Williamsburg,Ace’s Pizza Williamsburg,30 Rockefeller Plz,ChIJMTXf1ChZwokR2WKzrREy78s,NYC,,Invalid: Partial name match (0.63),MATCHED,1.0,verified_place_id,,Matched to DB row 11
Bobwhite Counter Union Square,Bobwhite Counter (Union Square),,ChIJY8YwP65ZwokRH5YcEM4Ai4c,NYC,,Invalid: Partial name match (0.71),MATCHED,1.0,verified_place_id,,Matched to DB row 95
Nami Nori Montclair,Nami Nori (Montclair NJ),,ChIJr4W1Xz1VwokRI-HqiIpeKRw,NYC,,Invalid: Name match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 477
Unregular Pizza Lower East Side,Unregular Pizza LES,135 4th Ave,ChIJlZhb1NhZwokRZ-xeod509HE,NYC,,Invalid: Partial name match (0.65),MATCHED,1.0,verified_place_id,,Matched to DB row 770
Saga SAGA,SAGA,70 Pine St,ChIJZZlClEZbwokRZj-0-fE25tk,NYC,,Valid: SAGA (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 581
Bon Banh Mi - N. Mt. Pleasant,Bon Banh Mi - N. Mt. Pleasant,"1100 Oakland Market rd, Mt. P, SC 29466",ChIJ-8xLhPVt_ogRX7YnQGJ0t8Y,CHS,,Valid: BON BANH MI Southeast Asian Kitchen (conf: 0.80),MATCHED,0.95,claude_verified,,Matched to DB row 100
Llama Inn Williamsburg,Llama Inn,50 Withers Street,ChIJD6vUMlpZwokRSFeGSBW_gvU,NYC,,Valid: Llama Inn (conf: 0.70),MATCHED,1.0,verified_place_id,,Matched to DB row 396
Cappone's West Village,Cappone’s Salumeria,75 9th Avenue,ChIJm2WVXL9ZwokRNwGDFzSKuH8,NYC,,Invalid: Low confidence match,MATCHED,0.8511627906976744,high_similarity,,Matched to DB row 167
Frankies 457 Carroll Gardens,Frankies,457 Court St,ChIJm7uvMfZawokRNR0XRCotzWY,,,Invalid: Address match (0.86),MATCHED,1.0,verified_place_id,,Matched to DB row 242
The Bakery at Greywind Hudson Yards,The Bakery at Greywind,451 10th Ave,ChIJj6BPafxZwokRcskGmEJX2As,NYC,,Valid: The Bakery at Greywind (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 684
Mishik Hudson Square,Mishik,259 Hudson Street,ChIJSx4uSy5ZwokRwqbvtErf43M,NYC,,Invalid: Address match (0.84),MATCHED,1.0,verified_place_id,,Matched to DB row 454
Alidoro Midtown,Alidoro Moynihan Train Hall,,ChIJr5odo75ZwokR4AhVgTmpHC4,NYC,,Invalid: Partial name match (0.64),MATCHED,1.0,verified_place_id,,Matched to DB row 17
Dhamaka Lower East Side,Dhamaka +,,ChIJJyPbJe1ZwokRu8dDEOqAYDc,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 183
Sunday in Brooklyn Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJkRWC9WFZwokRfa5Uzor3e-g,NYC,,Valid: Sunday In Brooklyn (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 636
The Stand Union Square,The Stand,116 E 16th St,ChIJgWBWFaBZwokRfOWdBPY5Y0o,NYC,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to DB row 737
Beautiful South Cannonborough,Beautiful South,128 Columbus Street,ChIJrfi1NJ17_ogRVSM0K9wWC1c,CHS,,Valid: Beautiful South by Kwei Fei (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 66
Farm to People Kitchen & Bar Bushwick,Farm to People Kitchen & Bar,,ChIJuUtZ-hdZwokRQw4pPJqOQbQ,NYC,,Invalid: Partial name match (0.72),MATCHED,1.0,verified_place_id,,Matched to DB row 221
Local 42 Hell's Kitchen,Local 42,,ChIJA__4pVVZwokRCrAjVlE9BPE,NYC,,Invalid: Partial name match (0.67),MATCHED,1.0,verified_place_id,,Matched to DB row 401
Jajaja Mexicana Williamsburg,Jajaja Williamsburg,,ChIJgV3yD_lZwokRPTi6aPfX2yo,NYC,,Invalid: Partial name match (0.70),MATCHED,1.0,verified_place_id,,Matched to DB row 312
Ace's Pizza Rockefeller Center,Ace’s Pizza Rockefeller,,ChIJvcKC7PxZwokRYgo9FMn7HZ8,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 10
Jajaja Mexicana Hudson Yards,Jajaja Hudson Yards,,ChIJH-d6yh5ZwokRazxWiTWTrAY,NYC,,Invalid: Partial name match (0.70),NO_MATCH,0.0,,,No confident match found
Unregular Bakery Union Square,Unregular Bakery Union Square,,ChIJ52QMLUtZwokRZwW4R7FUo2M,NYC,,Invalid: Partial name match (0.71),NO_MATCH,0.0,,,No confident match found
Softside Soho,Softside / Soupside,,ChIJxYuTzARZwokRKR54lIJ6qfw,NYC,,Invalid: Partial name match (0.76),NO_MATCH,0.0,,,No confident match found
Lighthouse Williamsburg,Lighthouse,145 Borinquen Pl,ChIJmU4y-OFbwokRuuTUu-zsedc,NYC,,Valid: Lighthouse BK (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 378
Freemans,Freemans,Freeman Alley,ChIJRcCC14VZwokRvJiDo29-IGM,NYC,,Valid: Freemans (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 246
Alidoro Rockefeller Center,Alidoro Rock Center,,ChIJrYlZAHVZwokRGSjwdeMjaac,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 18
Llama San Llama San,Llama San,359 Avenue of the Americas,ChIJ8youq41ZwokRqnnXghN1DIs,NYC,,Invalid: Partial name match (0.64),MATCHED,1.0,verified_place_id,,Matched to DB row 397
Zillions Pizza Hell's Kitchen,Zillions Pizza,360 W 42nd St,ChIJ0fMzPqxZwokRANQQd_Ru5O0,NYC,,Valid: Zillions Pizza (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to DB row 808
Joey Roses LES,Joey Roses,,ChIJyRRi4bpZwokR03CRX3x-RHc,NYC,,Invalid: Name match (0.83),MATCHED,1.0,verified_place_id,,Matched to DB row 317
Jajaja Mexicana LES,Jajaja LES,,ChIJp0gKoClawokR0txqrcaEkFc,NYC,,Invalid: Name match (0.88),MATCHED,1.0,verified_place_id,,Matched to DB row 310
Kultura Downtown,Kultura,,ChIJN1Kj-z57_ogRCzFv0tY-VRM,CHS,,Invalid: Partial name match (0.65),MATCHED,1.0,verified_place_id,,Matched to DB row 343
The Daily Buckhead,The Daily (Buckhead),,ChIJ42f6OcsP9YgRKgWhS9P-xSw,ATL,,Invalid: Name match (0.84),MATCHED,1.0,verified_place_id,,Matched to DB row 699
Emmett's West Village,Emmett's on Grove,39 Grove Street,ChIJIUmWODtZwokRc33t3aurFco,NYC,,Valid: Emmett's on Grove (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 207
Lodi Midtown,Lodi,1 Rockefeller Plaza,ChIJtY_Cr9VZwokR86t_xHCuZjc,NYC,,Invalid: Address match (1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 403
Burgerhead Greenwich Village,BURGERHEAD,,ChIJGxKmmOdZwokRzHYPmd42cdI,NYC,,Invalid: Low confidence match,NO_MATCH,0.0,,,No candidates passed pre-filtering
Bobwhite Counter Long Island City,Bobwhite Counter (Long Island City),,ChIJ6d5LokpZwokRlrAwll2NArU,NYC,,Invalid: Partial name match (0.65),MATCHED,1.0,verified_place_id,,Matched to DB row 94
Greenpoint Fish & Lobster Greenpoint,Greenpoint Fish & Market Restaurant,114 Nassau Ave,ChIJYVSQlUVZwokR3YMbMiZwhzE,NYC,,Valid: Greenpoint Fish & Lobster Co. (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 264
Il Buco Alimentari & Vineria NoHo,Il Buco Alimentari & Vineria,53 Great Jones St,ChIJYUQdLoVZwokRBjKzg6PAaa8,NYC,,Valid: Il Buco Alimentari & Vineria (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to DB row 295
Razza Jersey City,Razza,275 Grove Street,ChIJFSRtpLFQwokROP1exas0wNM,NYC,,Invalid: Address match (0.86),MATCHED,1.0,verified_place_id,,Matched to DB row 554
Sereneco Greenpoint,Sereneco,113 Franklin St,ChIJH_-tMGlZwokRqIqHR22D-zU,NYC,,Invalid: Address match (0.88),MATCHED,1.0,verified_place_id,,Matched to DB row 594
Barbuto West Village,Barbuto,775 Washington Street,ChIJVXheK_pZwokRDNLoQ0JK40M,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 51
Loring Place Greenwich Village,Loring Place,21 W 8th St,ChIJ69NaKJdZwokR3CamunXyYig,NYC,,Invalid: Partial address match (0.76),MATCHED,1.0,verified_place_id,,Matched to DB row 404
Alidoro Long Island City,Alidoro LIC,,ChIJFcjcVwBZwokRTSpYlpcfTi8,NYC,,Invalid: Low confidence match,MATCHED,1.0,verified_place_id,,Matched to DB row 16
Steak Frites Bistro Hell's Kitchen,Steak Frites,496 9th Ave,ChIJAwwWns9ZwokRXREEcH7Qa_U,NYC,,Valid: Steak Frites Bistro (conf: 0.80),NO_MATCH,0.0,,,No confident match found
Lola Taverna South Village,Lola Taverna,210 6th Avenue,ChIJHcWG3jZZwokRqla0A1P7mU4,NYC,,Valid: Lola Taverna (conf: 0.80),NO_MATCH,0.0,,,No confident match found
Rule of Thirds Williamsburg,Rule of Thirds,171 Banker St,ChIJaQRXYuRZwokRHjAN5MkBizY,NYC,,Valid: Rule of Thirds (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 578
Rule of Thirds Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJaQRXYuRZwokRHjAN5MkBizY,NYC,,Invalid: Partial name match (0.68),NO_MATCH,0.0,,,No confident match found
Rudy Royale Downtown,Rudy Royale,209 E Bay St,ChIJjXrGMwx6_ogRC9WyXPVnChQ,CHS,,Valid: Rudy Royale (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to DB row 576
Millers All Day Downtown,Millers All Day - Downtown,120 King St,ChIJp1j0TRB6_ogRLcupo0MkjJ0,CHS,,Valid: Millers All Day (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 450
Spring Cafe Aspen Greenwich Village,Spring Cafe New York,14 West 4th Street,ChIJ9faizgBZwokRUuPiFIDFhFs,NYC,,Invalid: Partial address match (0.76),MATCHED,1.0,verified_place_id,,Matched to DB row 622
Lindens SoHo,The Linden,2 Renwick St,ChIJh-oPySxZwokRBTfrxwTdRo4,NYC,,Valid: Lindens (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 382
Asador Bastian River North,Asador Bastian,,ChIJk8Z5cdstDogRdMPc0yBZB5M,CHI,,Invalid: Partial name match (0.70),MATCHED,1.0,verified_place_id,,Matched to DB row 40
Konro Konro,Konro Restaurant,424 Park Place,ChIJUyHQWG7X2IgRUiFdW4dmtFw,NYC,,Valid: KONRO (conf: 0.80),NO_MATCH,0.0,,,No confident match found
The Press Cannonborough,The Press (CHS),,ChIJ2-G-_Kd7_ogRqsUkYpokplA,CHS,,Invalid: Token overlap (0.67),MATCHED,1.0,verified_place_id,,Matched to DB row 728
