restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?,place_id_verification,match_status,match_confidence,match_method,verified_place_id,match_notes
Ace's Pizza,Rockefeller Center,30 Rockefeller Center,New York,NY,10112,0101000020E61000007DAFFE28A97E52C0AD6774C32C614440,ChIJvcKC7PxZwokRYgo9FMn7HZ8,,Valid: Ace's Pizza (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 96
Ace's Pizza,Williamsburg,637 Driggs Ave,Brooklyn,NY,11211,0101000020E6100000B6549401567D52C05C636F2D865B4440,ChIJMTXf1ChZwokR2WKzrREy78s,,Valid: Ace's Pizza (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 77
Aftermath,Ridgewood,16-80 Madison St,Ridgewood,NY,11385,0101000020E61000007F610637147A52C04C48C6C5AC594440,ChIJWUxCcGFdwokRB1mscVCGvyo,,Valid: Aftermath NYC (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 746
Albert's Bar,Murray Hill,140 E 41st St,New York,NY,10017,0101000020E61000008EB2217D787E52C09771E2E20F604440,ChIJTUnFcYpZwokRnDeckKVR3Nw,,Valid: Albert’s Bar (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to HS row 67
Alcove Market,Harleston Village,320 Broad St Suite 155,Charleston,SC,29401,0101000020E6100000CD5CE0F258FC53C0C1C58A1A4C634040,ChIJp0iulmp7_ogRjrA23hLK_Fs,,Valid: Alcove Market (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 292
Alidoro,Bryant Park,18 E 39th St,New York,NY,10016,0101000020E61000004C18FAF0CC7E52C035204FF222604440,ChIJyUQIwQBZwokRgIql4YCchfA,,Valid: ALIDORO (conf: 0.80),UNMATCHED,0.0,,,Not matched to any HubSpot record
Alidoro,Long Island City,28-17 Jackson Ave,Long Island City,NY,11101,0101000020E6100000CF73EAAE137C52C068C30A30E45F4440,ChIJFcjcVwBZwokRTSpYlpcfTi8,,Valid: Alidoro (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 119
Alidoro,Midtown,383 W 31st St,New York,NY,10001,0101000020E6100000B28E2384BB7F52C0982D3A763D604440,ChIJr5odo75ZwokR4AhVgTmpHC4,,Valid: ALIDORO (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 88
Alidoro,Rockefeller Center,1 Rockefeller Plaza Concourse level,New York,NY,10020,0101000020E61000000AA99B61A57E52C0EBA5319B09614440,ChIJrYlZAHVZwokRGSjwdeMjaac,,Valid: ALIDORO (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 102
Alidoro,The Hugh,157 E 53rd St,New York,NY,10022,0101000020E61000002EF544911B7E52C0A6DCA1A61B614440,ChIJFa7a9uFZwokR1JWN1NOyzaM,,Valid: ALIDORO (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 40
ALL BLUES,Tribeca,87 Walker St,New York,NY,10013,0101000020E6100000D5B14AE9198052C026C86361E35B4440,ChIJdROsbwBbwokRHl54aM_rAsc,,Valid: All Blues (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 482
Alma Negra,Park Slope,494 4th Ave,Brooklyn,NY,11215,0101000020E61000002511C3C2637F52C024F020289F554440,ChIJjzh0ftJbwokRIFioM_VxHNQ,,Valid: Alma Negra (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 553
Almond,Bridgehampton,1 Ocean Rd,Bridgehampton,NY,11932,0101000020E6100000ED6A4D4E481352C07D602239F4774440,ChIJX4bnq9i96IkRMhnW2mI-AIQ,,Valid: Almond (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 688
Alora Coastal Mediterranean,Alora Coastal Mediterranean,Pier 3,San Francisco,CA,94105,0101000020E6100000E5428AA658995EC042C2418C21E64240,ChIJ20bNEACBhYARtsTcSrSPFdU,,Valid: Alora Coastal Mediterranean (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 600
Alphabet City Beer Co.,Lower East Side,96 Loisaida Ave,New York,NY,10009,0101000020E61000001915A575A67E52C072071784A75C4440,ChIJWaWbwHlZwokRj1wHkvB84zE,,Valid: Alphabet City Beer Co. (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 394
Altair,Midtown,351 W 38th St,New York,NY,10018,0101000020E61000001EC6A4BF977F52C0EECC04C3B9604440,ChIJIRWJmBVZwokRZA5hGN68TgA,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to HS row 45
Ambler,LoDo,1801 Wewatta St,Denver,CO,80202,0101000020E61000009DA85B2CFB3F5AC0944440CFB0E04340,ChIJfQpFkDx5bIcRGnDZ-s_yQnE,,Valid: Ambler (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 696
Ambra,West Village,569 Hudson St,New York,NY,10014,0101000020E6100000A2B2614D658052C09F03CB11325E4440,ChIJW0-RNpdZwokRQYkOS0HTtwM,,Valid: Ambra (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 75
Amelie SF,Polk Gulch,1754 Polk St,San Francisco,CA,94109,0101000020E6100000C5D0A057F29A5EC069458AB784E54240,ChIJ88G-quuAhYAR7bj0Yhr8gwI,,Valid: Amelie San Francisco (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 435
Amélie UWS,Upper West Side,566 Amsterdam Ave,New York,NY,10024,0101000020E61000006AB52C045E7E52C0363E93FDF3644440,ChIJBV27hoNYwokRiJHgqjNtN7g,,Corrected: 566 Amsterdam Ave (conf: 0.62),MATCHED,0.95,claude_verified,,Matched to HS row 759
Amen Street Fish & Raw Bar,French Quarter - Charleston,205 E Bay St,Charleston,SC,29401,0101000020E610000079A3A02559FB53C0B8C83D5DDD634040,ChIJZ21LMAx6_ogRO1cje2Ji56c,,Valid: Amen Street Fish & Raw Bar (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 825
Andros Taverna,Logan Square,2542 N Milwaukee Ave,Chicago,IL,60647,0101000020E610000098BED7101CED55C0FD4AE7C3B3F64440,ChIJWfaiPh_ND4gRaRT5k6Wp24g,,Valid: Andros Taverna (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 12
Anton's,Anton's,570 Hudson St,New York,NY,10014,0101000020E61000006A6D75945E8052C0F07673A72A5E4440,ChIJvdgj3uVZwokRDFVNZGAg43U,,Valid: Anton's (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 23
Aqua,Flatiron,902 Broadway,New York,NY,10010,0101000020E6100000C4E0AB67527F52C0ACCB84BAA35E4440,ChIJf2HgzaNZwokR4hAuRrA6Bo0,,Corrected: 902 Broadway (conf: 0.62),UNMATCHED,0.0,,,Not matched to any HubSpot record
Aquarelle,Aquarelle,47 Avenue B,New York,NY,10009,0101000020E6100000223F7672E17E52C001DE02098A5C4440,ChIJsSGRfXhZwokROD3euzl_76s,,Valid: Aquarelle (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 850
Arcana,Mission,2512 Mission St,San Francisco,CA,94110,0101000020E61000001D0F6C4BD39A5EC04298DBBDDCE04240,ChIJyf4Rywl_j4ARyOJZrnvV0Wc,,Valid: Arcana (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 319
Ariari,East Village,119 1st Ave,New York,NY,10003,0101000020E610000086702DDC177F52C05B809D79175D4440,ChIJhUDJFUVZwokRkNERZsyOxWo,,Valid: ARIARI (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 251
Artesano,Tribeca,90 Chambers St Unit A,New York,NY,10007,0101000020E610000027929ED8798052C06BDE27FD735B4440,ChIJv3vgwFZbwokRwP07bRgRYdM,,Valid: Artesano (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 623
Arthur and Sons,Murray Hill,145 East 39th St.,New York,NY,10016,0101000020E61000008BD11CEA7F7E52C088898E17F05F4440,ChIJLzdV-ANZwokR4sBSm4y5wms,,Corrected: 145 E 39th St (conf: 0.61),MATCHED,0.95,claude_verified,,Matched to HS row 399
Arthur and Sons,West Village,38 8th Ave,New York,NY,10014,0101000020E6100000E73E8767428052C0BD340EDA7B5E4440,ChIJw2RCuSZZwokRVt7nWZNROm0,,Valid: Arthur and Sons NY Italian (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 165
Asador Bastian,Asador Bastian,214 W Erie St,Chicago,IL,60654,0101000020E61000007EC68503A1E855C00190C99871F24440,ChIJk8Z5cdstDogRdMPc0yBZB5M,,Valid: Asador Bastian (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 128
Asano,Upper East Side,322 East 86th St,New York,NY,10028,0101000020E6100000891CC7B4DB7C52C05B26C3F17C634440,ChIJZ0hCG2pZwokR-OrHd4Gtt3w,,Valid: Asano (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 896
Ash'Kara,LoHi,2005 W 33rd Ave,Denver,CO,80211,0101000020E61000007BA6F2D1BD405AC0611E8D9EB6E14340,ChIJw9FqUex4bIcRpV-3fHDv2TQ,,Valid: Ash'Kara (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 875
Attaboy,Lower East Side,134 Eldridge St,New York,NY,10002,0101000020E61000000D52F014727F52C00A12DBDD035C4440,ChIJDbQMBIdZwokRVS4L8B8V5SA,,Valid: Attaboy (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 641
AURA Tapas & Cocktail Bar,East Village,111 1st Ave,New York,NY,10003,0101000020E610000010B056ED1A7F52C0F42675B80C5D4440,ChIJ5QOQdQtZwokRSy16jOl97Uc,,Valid: AURA Tapas & Cocktail Bar (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 509
Bad Roman,Columbus Circle,3rd floor,New York,NY,10019,0101000020E6100000C3938195ED7E52C0763CD63064624440,ChIJG0fkfuJZwokRqmAxXTpYP2I,,Valid: Bad Roman (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 392
Baguette Magic,James Island,792 Folly Rd Ste. A,Charleston,SC,29412,0101000020E6100000BF0AF0DDE6FD53C096236420CF5E4040,ChIJcRYyVQp5_ogRzddEPU6O5fA,,Valid: Baguette Magic Folly Rd (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 290
Baguette Magic,West Ashley,1028 Wappoo Rd,Charleston,SC,29407,0101000020E610000037DDB243FC0054C02444F98216664040,ChIJ3fhrj2V7_ogRHJRlSVyLbGQ,,Valid: Baguette Magic West Ashley (conf: 0.80),UNMATCHED,0.0,,,Not matched to any HubSpot record
Bangkok Supper Club,West Village,641 Hudson St,New York,NY,10014,0101000020E6100000FF7403055E8052C07C9A9317995E4440,ChIJvduhDjVZwokReg77D1pNQaQ,,Valid: Bangkok Supper Club (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 164
Banzarbar,Nolita,2 Freeman Alley,New York,NY,10002,0101000020E610000079386B05847F52C01C654D6C6A5C4440,ChIJU74O14VZwokRQ-wPmjfTERE,,Valid: Banzarbar (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 69
bar56,Dumbo,53 Water St,Brooklyn,NY,11201,0101000020E6100000157B584F857F52C09C80C96E0B5A4440,ChIJ5SzimXpbwokRR2U_8IFONFw,,Valid: bar56 (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 707
Barbuto,West Village,113 Horatio St,New York,NY,10014,0101000020E6100000DF18B1A5978052C0E234880A975E4440,ChIJVXheK_pZwokRDNLoQ0JK40M,,Valid: Barbuto (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 117
Bar Dough,LoHi,2227 W 32nd Ave,Denver,CO,80211,0101000020E61000009B9B25B7DC405AC069C4CC3E8FE14340,ChIJrRxEypN4bIcR_GfxUkiSeCs,,Valid: Bar Dough (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 871
Bar Enzo,Long Island City,10-15 43rd Ave 2nd Fl,Long Island City,NY,11101,0101000020E6100000F5A0A014AD7C52C0A662635E47604440,ChIJD_uCNtNZwokR8uyJSOjMuZQ,,Valid: Bar Enzo (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to HS row 375
Bar Francis,Clinton Hill,810 Fulton St,Brooklyn,NY,11238,0101000020E610000005589A4AF57D52C076F97BCE82574440,ChIJH2vRDZBbwokRR9fWYeKp_BE,,Valid: Bar Francis (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 883
Bar Iris,Russian Hill,2310 Polk St,San Francisco,CA,94109,0101000020E6100000F9646AB7029B5EC04B862D8727E64240,ChIJQ3FRFZ-BhYAR3Rt6OXN6hSo,,Valid: Bar Iris (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 336
Bar Madonna,Williamsburg,367 Metropolitan Ave,Brooklyn,NY,11211,0101000020E6100000225DE0162A7D52C0D7BED8E66B5B4440,ChIJUWhXmjpZwokRjvRZ1_vjTqI,,Valid: Bar Madonna (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 334
Bar Moga,SoHo,128 W Houston St,New York,NY,10012,0101000020E610000072252134128052C0CB217F732D5D4440,ChIJRy7Z-I1ZwokRQm17a6QDJ6E,,Valid: Bar Moga (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 443
Barn Joo,Union Square,35 Union Square W,New York,NY,10003,0101000020E6100000E2395B40687F52C006BCCCB0515E4440,ChIJQ7XpyqNZwokRQpVfvGEViWM,,Invalid: Address match (0.95),MATCHED,1.0,verified_place_id,,Matched to HS row 747
Bar Primi,NoHo,325 Bowery,New York,NY,10003,0101000020E6100000B680D07A787F52C0BCA1DFADE25C4440,ChIJSW8U34RZwokR-UhuJkjLDvk,,Invalid: Address match (0.98),MATCHED,1.0,verified_place_id,,Matched to HS row 864
Bar Revival,Lower East Side,161 Ludlow St,New York,NY,10002,,ChIJi7he5vpZwokRpyaPR5yZplY,,Valid: Bar Revival (conf: 0.80),UNMATCHED,0.0,,,Not matched to any HubSpot record
Bar Six,Greenwich Village,502 6th Ave,New York,NY,10011,0101000020E61000007657D17AD37F52C0D249A58E445E4440,ChIJ9bgCzJdZwokRvm_6RoQ8edg,,Invalid: Address match (0.94),MATCHED,1.0,verified_place_id,,Matched to HS row 427
Bar Sprezzatura NYC,Midtown,251 W 48th St,New York,NY,10036,0101000020E610000004E09F52257F52C01805662A69614440,ChIJNVkbEwBZwokRcQJBrkU_Wuo,,Valid: Bar Sprezzatura (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to HS row 395
Bar Sprezzatura SF,Financial District,One Maritime Plaza 300 Clay St #100,San Francisco,CA,94111,0101000020E6100000EE0A7DB08C995EC06AA67B9DD4E54240,ChIJNVkbEwBZwokRcQJBrkU_Wuo,,Invalid: Partial name match (0.76),MATCHED,0.95,claude_verified,,Matched to HS row 391
Basic Kitchen,Downtown Charleston,82 Wentworth St,Charleston,SC,29401,0101000020E61000007AC37DE4D6FB53C02CBAF59A1E644040,ChIJNz0pmhN6_ogR5laaX7NUnVs,,Invalid: Address match (0.94),MATCHED,1.0,verified_place_id,,Matched to HS row 146
Bati,Clinton Hill,1057 Fulton St,Brooklyn,NY,11238,0101000020E61000007F5D122A697D52C02612EDBF4F574440,ChIJYXEosLFbwokRZO204ZitA1Q,,Invalid: Address match (0.93),MATCHED,1.0,verified_place_id,,Matched to HS row 565
Beautiful South,Cannonborough,128 Columbus St,Charleston,SC,29403,0101000020E61000006840BD1935FC53C009DFFB1BB4654040,ChIJrfi1NJ17_ogRVSM0K9wWC1c,,Valid: Beautiful South by Kwei Fei (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to HS row 92
Beer Street South,Prospect Heights,550 Vanderbilt Ave,Brooklyn,NY,11238,0101000020E610000055467C9AF37D52C04EABB0FB2B574440,ChIJEVFkpFtbwokR5ItXs2oJnvk,,Valid: Beer Street South (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 541
Bee's Knees,Williamsburg,65 N 7th St,Brooklyn,NY,11249,0101000020E61000001423551C837D52C056D75CFC2B5C4440,ChIJ__96vgVZwokRgkcY1cmk_VM,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to HS row 555
Bella Luna Restaurant,Upper West Side,574 Columbus Ave,New York,NY,10024,0101000020E61000001935046C2C7E52C0EDC616DDD5644440,ChIJkf3PqpxYwokRZlk0ie5vk2c,,Valid: Bella Luna Restaurant (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 846
Benjamin Prime,Midtown East,23 E 40th St,New York,NY,10016,0101000020E61000006EBE11DDB37E52C0F4F928232E604440,ChIJOdx0HQFZwokRzHFDS_GXQxk,,Valid: Benjamin Steakhouse Prime (conf: 0.60),MATCHED,1.0,verified_place_id,,Matched to HS row 8
Benjamin Steakhouse,Midtown East,52 East 41st Street,New York,NY,10017,0101000020E61000004A7D59DAA97E52C08F519E7939604440,ChIJ3TH9CwFZwokRIvNO1SP0WLg,,Valid: Benjamin Steakhouse (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 39
Bergerac,SoMa,316 11th St,San Francisco,CA,94103,0101000020E61000008BDEA9807B9A5EC005C1E3DBBBE24240,ChIJ5wZMMyZ-j4ARDpT0d0kIx7A,,Valid: Bergerac (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 436
Berkeley’s,Hampton Park Terrace,624 1/2 Rutledge Ave,Charleston,SC,29403,0101000020E61000004D2CF015DDFC53C017B9A7AB3B664040,ChIJZ8LPDn57_ogRtfAHxwB8VdI,,Valid: Berkeley's (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 354
Bernie's,Noe Valley,3966 24th St,San Francisco,CA,94114,0101000020E61000006D4DF1FF979B5EC017B99B383AE04240,ChIJ37ticRN-j4ARnoZeLusW0bI,,Valid: Bernie's (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 743
Besharam,Potrero Hill,1275 Minnesota St,San Francisco,CA,94107,0101000020E61000009DB20C32ED985EC0BE57B7BC92E04240,ChIJXdSpkLp_j4AR_myZWVcbVxc,,Invalid: Address match (0.94),MATCHED,0.95,claude_verified,,Matched to HS row 217
BierWax,Prospect Heights,556 Vanderbilt Ave,Brooklyn,NY,11238,0101000020E6100000B01FBD3CF87D52C0DD8EBAE70A574440,ChIJk9RJNaRbwokRtMPbGlZp3uc,,Valid: BierWax (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 894
Bin Bin Sake,Williamsburg,29 Norman Ave #100,Brooklyn,NY,11222,0101000020E6100000A452EC681C7D52C0C0CDE2C5C25C4440,ChIJKXGbJHBZwokR2dbFNdN0FBU,,Valid: Bin Bin Sake (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 56
Binondo,Chinatown,50 E Broadway,New York,NY,10002,,ChIJZ0GqPSZawokRCsfFzZrHbF8,,Corrected: 50 E Broadway (conf: 0.62),UNMATCHED,0.0,,,Not matched to any HubSpot record
Birdee,Williamsburg,316 Kent Ave,Brooklyn,NY,11249,0101000020E6100000D63140A7E87D52C051CF8FB16E5B4440,ChIJJbmnn01ZwokRRBmMCKIY8K8,,Valid: Birdee (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 602
Bird on the Roof,Montauk,47 S Elmwood Ave,Montauk,NY,11954,0101000020E6100000EBFAAA016FFC51C031618FE44D844440,ChIJG3YZb5RT74kRsMwlDBs6FjQ,,Valid: Bird on the Roof (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 783
Bistro Ete,Water Mill,760 Montauk Hwy,Water Mill,NY,11976,0101000020E6100000DBF813958D1652C0011E0714A0744440,ChIJBb_d_piV6IkRzFwzWqvbZcI,,Invalid: Address match (0.94),MATCHED,1.0,verified_place_id,,Matched to HS row 690
Blackbird,Blackbird,324 Lafayette St,New York,NY,10012,,,,Not found,UNMATCHED,0.0,,,Not matched to any HubSpot record
Blackbird Club at AJAX Tavern,Aspen,685 E Durant Ave,Aspen,CO,81611,0101000020E61000009D6516A158B45AC0C927BFA0E0974340,ChIJRXICg9g7QIcRBB8na-Y0PqE,,Invalid: Address match (0.82),UNMATCHED,0.0,,,Not matched to any HubSpot record
Blackbird Club at Parcelle,Greenwich Village,146 W Houston St,New York,NY,10012,0101000020E6100000D6F3F54C1E8052C032B13CC8365D4440,,,Not found,UNMATCHED,0.0,,,Not matched to any HubSpot record
Black Seed Bagels,Nolita,170 Elizabeth Street,New York,NY,10012,0101000020E6100000CD5B751DAA7F52C0419DF2E8465C4440,ChIJV1BBkp1ZwokRpjqvV01uiqg,,Valid: Black Seed Bagels (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 461
Blackwood,Blackwood,2150 Chestnut St,San Francisco,CA,94123,0101000020E6100000E312EC64159C5EC0D68926AB7DE64240,ChIJkfP43NaAhYARkQtRUGeNnlY,,Valid: Blackwood (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 674
BlindPig,Tenderloin,1113 Polk St,San Francisco,CA,94109,0101000020E61000009C040549DD9A5EC08D1620BFC4E44240,ChIJ7SlawgSBhYARbP6ZoPjNHMA,,Invalid: Address match (0.94),MATCHED,1.0,verified_place_id,,Matched to HS row 188
Blind Tiger,West Village,281 Bleecker St,New York,NY,10014,0101000020E61000002181E350348052C0F1C2278FB65D4440,ChIJWW4LoZNZwokRFOD1017tTZc,,Valid: Blind Tiger (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 669
BLT Prime,Upper East Side,1032 Lexington Ave,New York,NY,10021,0101000020E610000029F8B7158C7D52C02D3C1EE9C2624440,ChIJkWzZwb9ZwokRY7IXGGtsH0s,,Valid: BLT Prime (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 788
Blue Plate,Mission,3218 Mission St,San Francisco,CA,94110,0101000020E610000066D993C0E69A5EC0A3E6ABE463DF4240,ChIJ7d1kDkN-j4ARLXO5JZwg7NI,,Valid: Blue Plate (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 473
Blue Whale,Marina,2033 Union St,San Francisco,CA,94123,0101000020E6100000172FA849AE9B5EC05AC2F4D411E64240,ChIJyeXEUEyBhYARWEs70AP8J4I,,Invalid: Address match (0.94),MATCHED,1.0,verified_place_id,,Matched to HS row 179
Bobwhite Counter,Alphabet City,94 Avenue C,New York,NY,10009,0101000020E61000007D95CEBEA37E52C077AEF43DB35C4440,ChIJhb1Sx3lZwokR7-zaifOkCwo,,Valid: Bobwhite Counter (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 3
Bobwhite Counter,Jersey City,150 Warren St,Jersey City,NJ,7302,0101000020E6100000A08A42238B8252C0CC36A5D6645B4440,ChIJN5aJDSdRwokRYvp9FA96GX4,,Valid: Bobwhite Counter (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 22
Bobwhite Counter,Long Island City,28-17 Jackson Ave,Queens,NY,11101,0101000020E61000003094C3310F7C52C075C0A49121604440,ChIJ6d5LokpZwokRlrAwll2NArU,,Valid: Bobwhite Counter (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 112
Bobwhite Counter,Union Square,124 E 14th St,New York,NY,10003,0101000020E6100000496F91F6487F52C01932593A075E4440,ChIJY8YwP65ZwokRH5YcEM4Ai4c,,Valid: Bobwhite Counter (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to HS row 78
Bodega (Coffee Counter),Downtown,23 Ann St,Charleston,SC,29403,0101000020E61000006279A1CAFAFB53C060C0817F00654040,ChIJV_qOlyJ7_ogRZUQr84eFa28,,Invalid: Address match (0.93),MATCHED,1.0,verified_place_id,,Matched to HS row 203
Bodega (Coffee Counter),Mt. Pleasant,414 W Coleman Blvd,Mt Pleasant,SC,29464,0101000020E61000006475ABE7A4F853C0CC26C0B0FC654040,ChIJ2Tz5Shhx_ogRWzT5SMTCUTo,,Invalid: Address match (0.82),UNMATCHED,0.0,,,Not matched to any HubSpot record
Bodega (Dine In),Downtown Charleston,23 Ann St,Charleston,SC,29403,,ChIJV_qOlyJ7_ogRZUQr84eFa28,,Invalid: Address match (0.93),MATCHED,1.0,verified_place_id,,Matched to HS row 204
Bodega SF,Bodega SF,138 Mason St,San Francisco,CA,94123,0101000020E6100000E1F890A6309A5EC094F540D076E44240,ChIJh26QnF1_j4AR3B7n6vAHjHQ,,Valid: Bodega SF (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 507
Bon Banh Mi,Mt. Pleasant,1100 Oakland Market Rd,Mt Pleasant,SC,29466,0101000020E61000002C62D8614CF253C001158E20956E4040,ChIJi9XcE6Bt_ogRZeYs0oSvZ0c,,Corrected: 1100 Oakland Market Rd (conf: 0.64),MATCHED,0.95,claude_verified,,Matched to HS row 82
