Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?,verified_place_id,confidence_score,match_status,notes,processed
Nom Wah Nolita,Nom Wah Nolita,10 Kenmare St,ChIJLxEbJoZZwokRBgg1pE4COTo,NYC,,,0.0,,,False
Andros Taverna North Side,Andros Taverna,2542 North Milwaukee Avenue,ChIJWfaiPh_ND4gRaRT5k6Wp24g,NYC,,,0.0,,,False
Foul Witch Alphabet City,Foul Witch,15 Avenue A,ChIJq6oPsoNZwokR1hGiiD3wy8g,NYC,,,0.0,,,False
Mah-Ze-Dahr Battery Park City,Mah Ze Dahr Brookfield Place,,ChIJU7XySD9bwokRzxnhM1S8uWw,NYC,,,0.0,,,False
Please Don't Tell East Village,PDT,113 St Marks Pl,ChIJb67-ZZ1ZwokRRxBYr3GlFp0,NYC,,,0.0,,,False
Crif Dogs East Village,Crif Dogs,113 St Marks Pl,ChIJd4cu_9RZwokROtuVsYCgPAE,NYC,,,0.0,,,False
Nami Nori Williamsburg,Nami Nori (Williamsburg),33 Carmine Street,ChIJS9NJoSBZwokRW6254XR11Uo,NYC,,,0.0,,,False
Kubeh Greenwich Village,Kubeh,464 6th Ave,ChIJ5fW8U5ZZwokRlk_uZ6uLlgg,NYC,,,0.0,,,False
F&F Pizzeria Carroll Gardens,F&F Pizzeria,459 Court Street,ChIJO32xszpbwokRVr_g36taCbI,NYC,,,0.0,,,False
Romeos East Village,Romeo’s,118 Saint Marks Pl,ChIJ5dKgkl1ZwokRVaLe0VlqPXg,NYC,,,0.0,,,False
Unregular Bakery Punchcard,Unregular Bakery Union Square,,ChIJ52QMLUtZwokRZwW4R7FUo2M,NYC,,,0.0,,,False
Bobwhite Counter Jersey City,Bobwhite Counter (Jersey City),,ChIJN5aJDSdRwokRYvp9FA96GX4,NYC,,,0.0,,,False
Anton's West Village,Anton’s,570 Hudson St,ChIJvdgj3uVZwokRDFVNZGAg43U,NYC,,,0.0,,,False
Jajaja Mexicana West Village,Jajaja West Village,162 E Broadway,ChIJh-s4YNNZwokRKuwXrP5FHqY,NYC,,,0.0,,,False
Raku East Village Regulars,Sanraku - Japanese Sushi Restaurant,342 East 6th Street,ChIJ8eEu0JxZwokRNFpDI_HBFmc,NYC,,,0.0,,,False
Rosemary's West Village,Rosemary's West,350 1st Ave.,ChIJCW5gj5ZZwokRtfK4UZxkcr4,NYC,,,0.0,,,False
Rancho Lewis NoMo,Rancho Lewis,1503 King St,ChIJhRZB6_B6_ogRzcrTCfdU3aA,CHS,,,0.0,,,False
Uncork Wraggborough,Uncork Charleston,476 King St,ChIJBUxFNWp6_ogRbCCh69ktiXo,CHS,,,0.0,,,False
Naks East Village,NAKS,201 1st Ave.,ChIJQfYrEfNZwokRFPKHZM6aH4w,NYC,,,0.0,,,False
Kwei Fei Riverland Terrace,Beautiful South by Kwei Fei,1977 Maybank Hwy,ChIJ2Y6RTt55_ogR01tw5zmzHJc,CHS,,,0.0,,,False
Sea Fire Grill Regulars,Sea Fire Grill,"158 E 48th St, Between 3rd and, Lexington Ave",ChIJpYNIR_1YwokRNMXI4Qk1lwQ,NYC,,,0.0,,,False
Insa Gowanus,Insa,328 Douglass Street,ChIJo-EvNqtbwokRjZnXUY-cyCk,NYC,,,0.0,,,False
Lewis Barbecue NoMo,Lewis Barbecue,464 North Nassau Street,ChIJS1r2V196_ogRcfkNioUMYJo,NYC,,,0.0,,,False
Melfi's Downtown Charleston,Melfi’s,,ChIJ1-7uvCx7_ogRk997qqBzibY,CHS,,,0.0,,,False
Virginia's East Village,Virginia’s,647 East 11th Street,ChIJVZXlLHdZwokR9Vd3zCwFaqQ,NYC,,,0.0,,,False
Sip & Guzzle,Sip & Guzzle,"29 Cornelia St, New York, NY",ChIJ49KsB19ZwokR8VwrMbECQr8,NYC,,,0.0,,,False
The Musket Room,Musket Room,265 Elizabeth St,ChIJ3TJ4moVZwokRkyy0hZnv_RA,NYC,,,0.0,,,False
Little Prince South Village,Little Prince,199 Prince St,ChIJ5c-evI1ZwokRhHh6FjhuLH8,NYC,,,0.0,,,False
Benjamin Steakhouse Midtown East,Benjamin Steakhouse,,ChIJ3TH9CwFZwokRIvNO1SP0WLg,NYC,,,0.0,,,False
Alidoro Bryant Park,Alidoro Bryant park,601 Lexington Ave,ChIJyUQIwQBZwokRgIql4YCchfA,NYC,,,0.0,,,False
The Alderman Midtown,Alderman,,ChIJFfDd9lVYwokRHprgDkRnHh4,NYC,,,0.0,,,False
The Daily Inman Park,The Daily (Inman Park),652 B King St,ChIJWTGUwM8H9YgRpg7-fUaVBVg,CHS,,,0.0,,,False
The Daily (Charleston - King St) Regulars,The Daily (Charleston - King St),,ChIJDdSww0J6_ogRvvj8m1N0UbY,CHS,,,0.0,,,False
Ensenada Williamsburg,Ensenada,168 Borinquen Pl,ChIJVQhDBhxbwokRLwobz9lb_qk,NYC,,,0.0,,,False
Altair Midtown,Altair,351 W 38th St,ChIJIRWJmBVZwokRZA5hGN68TgA,NYC,,,0.0,,,False
The Daily (Trabert Ave) Regulars,The Daily (Trabert Ave),,ChIJ721mea0F9YgRprcP8IRu09U,ATL,,,0.0,,,False
Hoseki Midtown,Hoseki,611 5th Ave,ChIJKfbxu2RZwokRZhsCZq_HYTg,NYC,,,0.0,,,False
Gotham Burger Social Club Lower East Side,Gotham Burger Social Club,113 Franklin St,ChIJa9mUEgFZwokRp_ITmhqS8f4,NYC,,,0.0,,,False
Little Jack's Tavern Downtown Charleston,Little Jack's Tavern,710 King Street,ChIJo_sjo1x6_ogRtUDrUtTWli8,CHS,,,0.0,,,False
The Tippling House Cannonborough,The Tippling House (CHS),221 Coming Street,ChIJ3Smbkrx7_ogR0kLofdrh90s,CHS,,,0.0,,,False
Davey's Ice Cream Moynihan Train Hall,Davey’s Ice Cream (Midtown),,ChIJxwZzzNdZwokRMyNu9LzW1wM,NYC,,,0.0,,,False
Crave Fishbar Upper West Side,Crave Fishbar UWS,945 2nd Ave,ChIJqztVA4ZYwokRiLK8Lzh7_sk,NYC,,,0.0,,,False
Emmett's SoHo,Emmett's (MacDougal),50 MacDougal St,ChIJqxBUkY1ZwokRM-YtSwwhy1E,NYC,,,0.0,,,False
Wild Common,Wild Common,"103 Spring St, Charleston, SC 29403",ChIJzUn6Qi17_ogRX1VX24enKTE,CHS,,,0.0,,,False
Fish Cheeks Noho,Fish Cheeks,55 Bond St,ChIJgc7fPIVZwokRQMnqTxTf_Qk,NYC,,,0.0,,,False
Bin Bin Sake Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,,,0.0,,,False
Bin Bin Sake Williamsburg,Bin Bin Sake,29 Norman Ave,ChIJKXGbJHBZwokR2dbFNdN0FBU,NYC,,,0.0,,,False
Le Rock Rockefeller Center,Le Rock,45 Rockefeller Plaza,ChIJNbTIf5BZwokRjbkuTrLZVB4,NYC,,,0.0,,,False
Raf's SoHo,Raf's,290 Elizabeth Street,ChIJJU-UWk1ZwokRklDKrZ_9EZE,NYC,,,0.0,,,False
Tolo,Parcelle Wine Bar Group,135 Division Street,ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,,,0.0,,,False
Tolo,Tolo,"28 Canal St, New York, NY 10002",ChIJQSKt-VdbwokRRPjIjPe6XEA,NYC,,,0.0,,,False
8282 Lower East Side,8282,84 Stanton Street,ChIJNaUIchtZwokRHI8Pk3mEz1Y,NYC,,,0.0,,,False
Stars Restaurant Radcliffborough,Stars Rooftop & Grill Room,495 King Street,ChIJJxlYSGp6_ogRyfL8KDjhLkg,CHS,,,0.0,,,False
The Wooly Nolita,The Wooly,11 Barclay Street,ChIJF_I2YsVZwokRp-Q1focBJpw,NYC,,,0.0,,,False
Jaffa Williamsburg,Jaffa Cocktail and Raw Bar,,ChIJlcUv3XVZwokRw8iLyOoROxI,NYC,,,0.0,,,False
Alidoro The Hugh,Alidoro The Hugh,,ChIJFa7a9uFZwokR1JWN1NOyzaM,NYC,,,0.0,,,False
Albert's Bar Murray Hill,Albert’s Bar,140 E 41st St,ChIJTUnFcYpZwokRnDeckKVR3Nw,NYC,,,0.0,,,False
The Palm Court at The Plaza Hotel Midtown,Palm Court at The Plaza,768 5th Ave,ChIJYaVdffBYwokRCwC_C_S-tbs,NYC,,,0.0,,,False
Banzarbar Nolita,Banzarbar,191 Chrystie Street,ChIJU74O14VZwokRQ-wPmjfTERE,NYC,,,0.0,,,False
Maison Premiere Williamsburg,Maison Premiere,298 Bedford Ave,ChIJW_WGT2BZwokRNpvZ4k3lVcs,NYC,,,0.0,,,False
Gelso & Grand Gelso & Grand,Gelso & Grand,186 Grand St,ChIJS3EpUohZwokReLFKxxE_zKE,NYC,,,0.0,,,False
Bonnie's Williamsburg,Bonnie's,398 Manhattan Ave,ChIJbQc9ABZZwokRMAK6C-Ekxg4,NYC,,,0.0,,,False
K'Far Williamsburg,K'far,,ChIJ6TIr1bdZwokRwODfMs7T90g,NYC,,,0.0,,,False
Parcelle Chinatown,Parcelle Wine Bar,135 Division Street,ChIJI3VG1kxYwokRECoJD1lSvSY,NYC,,,0.0,,,False
Ambra West Village,Ambra,,ChIJW0-RNpdZwokRQYkOS0HTtwM,NYC,,,0.0,,,False
Momofuku (Noodle Bar) - Uptown,Momofuku (Noodle Bar),10 Columbus Cir,ChIJKzLt4dZZwokRbv-Ebx1hBo0,NYC,,,0.0,,,False
Ace's Pizza Williamsburg,Ace’s Pizza Williamsburg,30 Rockefeller Plz,ChIJMTXf1ChZwokR2WKzrREy78s,NYC,,,0.0,,,False
Bobwhite Counter Union Square,Bobwhite Counter (Union Square),,ChIJY8YwP65ZwokRH5YcEM4Ai4c,NYC,,,0.0,,,False
Nami Nori Montclair,Nami Nori (Montclair NJ),,ChIJr4W1Xz1VwokRI-HqiIpeKRw,NYC,,,0.0,,,False
Unregular Pizza Lower East Side,Unregular Pizza LES,135 4th Ave,ChIJlZhb1NhZwokRZ-xeod509HE,NYC,,,0.0,,,False
Saga SAGA,SAGA,70 Pine St,ChIJZZlClEZbwokRZj-0-fE25tk,NYC,,,0.0,,,False
Bon Banh Mi - N. Mt. Pleasant,Bon Banh Mi - N. Mt. Pleasant,"1100 Oakland Market rd, Mt. P, SC 29466",ChIJ-8xLhPVt_ogRX7YnQGJ0t8Y,CHS,,,0.0,,,False
Llama Inn Williamsburg,Llama Inn,50 Withers Street,ChIJD6vUMlpZwokRSFeGSBW_gvU,NYC,,,0.0,,,False
Cappone's West Village,Cappone’s Salumeria,75 9th Avenue,ChIJm2WVXL9ZwokRNwGDFzSKuH8,NYC,,,0.0,,,False
Frankies 457 Carroll Gardens,Frankies,457 Court St,ChIJm7uvMfZawokRNR0XRCotzWY,,,,0.0,,,False
The Bakery at Greywind Hudson Yards,The Bakery at Greywind,451 10th Ave,ChIJj6BPafxZwokRcskGmEJX2As,NYC,,,0.0,,,False
Mishik Hudson Square,Mishik,259 Hudson Street,ChIJSx4uSy5ZwokRwqbvtErf43M,NYC,,,0.0,,,False
Alidoro Midtown,Alidoro Moynihan Train Hall,,ChIJr5odo75ZwokR4AhVgTmpHC4,NYC,,,0.0,,,False
Dhamaka Lower East Side,Dhamaka +,,ChIJJyPbJe1ZwokRu8dDEOqAYDc,NYC,,,0.0,,,False
Sunday in Brooklyn Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJkRWC9WFZwokRfa5Uzor3e-g,NYC,,,0.0,,,False
The Stand Union Square,The Stand,116 E 16th St,ChIJgWBWFaBZwokRfOWdBPY5Y0o,NYC,,,0.0,,,False
Beautiful South Cannonborough,Beautiful South,128 Columbus Street,ChIJrfi1NJ17_ogRVSM0K9wWC1c,CHS,,,0.0,,,False
Farm to People Kitchen & Bar Bushwick,Farm to People Kitchen & Bar,,ChIJuUtZ-hdZwokRQw4pPJqOQbQ,NYC,,,0.0,,,False
Local 42 Hell's Kitchen,Local 42,,ChIJA__4pVVZwokRCrAjVlE9BPE,NYC,,,0.0,,,False
Jajaja Mexicana Williamsburg,Jajaja Williamsburg,,ChIJgV3yD_lZwokRPTi6aPfX2yo,NYC,,,0.0,,,False
Ace's Pizza Rockefeller Center,Ace’s Pizza Rockefeller,,ChIJvcKC7PxZwokRYgo9FMn7HZ8,NYC,,,0.0,,,False
Jajaja Mexicana Hudson Yards,Jajaja Hudson Yards,,ChIJH-d6yh5ZwokRazxWiTWTrAY,NYC,,,0.0,,,False
Unregular Bakery Union Square,Unregular Bakery Union Square,,ChIJ52QMLUtZwokRZwW4R7FUo2M,NYC,,,0.0,,,False
Softside Soho,Softside / Soupside,,ChIJxYuTzARZwokRKR54lIJ6qfw,NYC,,,0.0,,,False
Lighthouse Williamsburg,Lighthouse,145 Borinquen Pl,ChIJmU4y-OFbwokRuuTUu-zsedc,NYC,,,0.0,,,False
Freemans,Freemans,Freeman Alley,ChIJRcCC14VZwokRvJiDo29-IGM,NYC,,,0.0,,,False
Alidoro Rockefeller Center,Alidoro Rock Center,,ChIJrYlZAHVZwokRGSjwdeMjaac,NYC,,,0.0,,,False
Llama San Llama San,Llama San,359 Avenue of the Americas,ChIJ8youq41ZwokRqnnXghN1DIs,NYC,,,0.0,,,False
Zillions Pizza Hell's Kitchen,Zillions Pizza,360 W 42nd St,ChIJ0fMzPqxZwokRANQQd_Ru5O0,NYC,,,0.0,,,False
Joey Roses LES,Joey Roses,,ChIJyRRi4bpZwokR03CRX3x-RHc,NYC,,,0.0,,,False
Jajaja Mexicana LES,Jajaja LES,,ChIJp0gKoClawokR0txqrcaEkFc,NYC,,,0.0,,,False
Kultura Downtown,Kultura,,ChIJN1Kj-z57_ogRCzFv0tY-VRM,CHS,,,0.0,,,False
The Daily Buckhead,The Daily (Buckhead),,ChIJ42f6OcsP9YgRKgWhS9P-xSw,ATL,,,0.0,,,False
Emmett's West Village,Emmett's on Grove,39 Grove Street,ChIJIUmWODtZwokRc33t3aurFco,NYC,,,0.0,,,False
Lodi Midtown,Lodi,1 Rockefeller Plaza,ChIJtY_Cr9VZwokR86t_xHCuZjc,NYC,,,0.0,,,False
Burgerhead Greenwich Village,BURGERHEAD,,ChIJGxKmmOdZwokRzHYPmd42cdI,NYC,,,0.0,,,False
Bobwhite Counter Long Island City,Bobwhite Counter (Long Island City),,ChIJ6d5LokpZwokRlrAwll2NArU,NYC,,,0.0,,,False
Greenpoint Fish & Lobster Greenpoint,Greenpoint Fish & Market Restaurant,114 Nassau Ave,ChIJYVSQlUVZwokR3YMbMiZwhzE,NYC,,,0.0,,,False
Il Buco Alimentari & Vineria NoHo,Il Buco Alimentari & Vineria,53 Great Jones St,ChIJYUQdLoVZwokRBjKzg6PAaa8,NYC,,,0.0,,,False
Razza Jersey City,Razza,275 Grove Street,ChIJFSRtpLFQwokROP1exas0wNM,NYC,,,0.0,,,False
Sereneco Greenpoint,Sereneco,113 Franklin St,ChIJH_-tMGlZwokRqIqHR22D-zU,NYC,,,0.0,,,False
Barbuto West Village,Barbuto,775 Washington Street,ChIJVXheK_pZwokRDNLoQ0JK40M,NYC,,,0.0,,,False
Loring Place Greenwich Village,Loring Place,21 W 8th St,ChIJ69NaKJdZwokR3CamunXyYig,NYC,,,0.0,,,False
Alidoro Long Island City,Alidoro LIC,,ChIJFcjcVwBZwokRTSpYlpcfTi8,NYC,,,0.0,,,False
Steak Frites Bistro Hell's Kitchen,Steak Frites,496 9th Ave,ChIJAwwWns9ZwokRXREEcH7Qa_U,NYC,,,0.0,,,False
Lola Taverna South Village,Lola Taverna,210 6th Avenue,ChIJHcWG3jZZwokRqla0A1P7mU4,NYC,,,0.0,,,False
Rule of Thirds Williamsburg,Rule of Thirds,171 Banker St,ChIJaQRXYuRZwokRHjAN5MkBizY,NYC,,,0.0,,,False
Rule of Thirds Williamsburg,Sunday Hospitality,348 Wythe Avenue,ChIJaQRXYuRZwokRHjAN5MkBizY,NYC,,,0.0,,,False
Rudy Royale Downtown,Rudy Royale,209 E Bay St,ChIJjXrGMwx6_ogRC9WyXPVnChQ,CHS,,,0.0,,,False
Millers All Day Downtown,Millers All Day - Downtown,120 King St,ChIJp1j0TRB6_ogRLcupo0MkjJ0,CHS,,,0.0,,,False
Spring Cafe Aspen Greenwich Village,Spring Cafe New York,14 West 4th Street,ChIJ9faizgBZwokRUuPiFIDFhFs,NYC,,,0.0,,,False
Lindens SoHo,The Linden,2 Renwick St,ChIJh-oPySxZwokRBTfrxwTdRo4,NYC,,,0.0,,,False
Asador Bastian River North,Asador Bastian,,ChIJk8Z5cdstDogRdMPc0yBZB5M,CHI,,,0.0,,,False
Konro Konro,Konro Restaurant,424 Park Place,ChIJUyHQWG7X2IgRUiFdW4dmtFw,NYC,,,0.0,,,False
The Press Cannonborough,The Press (CHS),,ChIJ2-G-_Kd7_ogRqsUkYpokplA,CHS,,,0.0,,,False
Hanoi House East Village,Hanoi House,,ChIJBWyKZp1ZwokRHhnug4zTch4,NYC,,,0.0,,,False
Raku Hanare Regulars,Raku Hanare,,ChIJcd-UAwBZwokR2dPBrKACTm8,NYC,,,0.0,,,False
Rosemary's Stuytown,Rosemary’s Stuytown,,ChIJqfd3jX9ZwokRS1hCsvCFcE8,NYC,,,0.0,,,False
Nami Nori West Village,Nami Nori (West Village),,ChIJcfbyqFNZwokRUoBP92II4c0,NYC,,,0.0,,,False
The Standard Biergarten Meatpacking,The Standard Biergarten,25 Cooper Sq,ChIJN-93ZsBZwokRMe_yr5I34Ik,NYC,,,0.0,,,False
Upside Nolita,Upside Pizza Nolita,640 Manhattan Avenue,ChIJJ4RaxFlZwokRPhaSd7t35H0,NYC,,,0.0,,,False
Lulla Chelsea,Lulla,113 West 24th Street,ChIJvTLKIr9ZwokRIBsYYKUY2DU,NYC,,,0.0,,,False
Raku Soho Regulars,Raku Soho,,ChIJo3cQ0GxZwokRUukfD7IRfKk,NYC,,,0.0,,,False
Laser Wolf Williamsburg,Laser Wolf,97 Wythe Avenue,ChIJLyS5dYRZwokRlkA0g9eijjs,NYC,,,0.0,,,False
Fairfax West Village,Fairfax,234 West 4th Street,ChIJSyYvYZRZwokR6tWSvOA2xXw,NYC,,,0.0,,,False
Unregular Pizza Midtown,Unregular Pizza Midtown,,ChIJW2boKvdZwokRAYw2cJwEH9I,NYC,,,0.0,,,False
Davey's Ice Cream Greenpoint,Davey’s Ice Cream (Greenpoint),,ChIJn4uvV0FZwokRXcHdLy6Og_M,NYC,,,0.0,,,False
Panzón Greenpoint,Panzon,23 Greenpoint Avenue,ChIJUfCp3OlZwokRvRb3hBuLIuA,NYC,,,0.0,,,False
Claro Gowanus,Claro,284 3rd Avenue,ChIJGVQqnFVawokRltzLtx5fMhM,NYC,,,0.0,,,False
Lovely's Old Fashioned Hell's Kitchen,Lovely’s Old Fashioned,642 9th Ave,ChIJd4_SnFJZwokRBeuZ-YwGaUw,NYC,,,0.0,,,False
Basic Kitchen Downtown Charleston,Basic Kitchen,82 Wentworth St,ChIJNz0pmhN6_ogR5laaX7NUnVs,CHS,,,0.0,,,False
Moongate Lounge Chinatown,Moongate Lounge,,ChIJpUlYTNmBhYARE6fZdZBiKR4,SF,,,0.0,,,False
Crave Fishbar Midtown,Crave Fishbar Midtown,,ChIJBUB1-eJYwokRwqGsIIvAPls,NYC,,,0.0,,,False
Overstory Overstory,Overstory,70 Pine St 64th Floor,ChIJ_8dmJ0lbwokRIJHQFfXiMNo,NYC,,,0.0,,,False
St. Tropez West Village,St. Tropez West Village,,ChIJo9tLC5VZwokR9t8kMnIACK0,NYC,,,0.0,,,False
Leon's Oyster Shop Downtown Charleston,Leons Oyster Shop,698 King Street,ChIJ180tuFx6_ogRLrajxAiAgYQ,CHS,,,0.0,,,False
IRIS,IRIS,1740 Broadway,ChIJMccf7SRZwokRyJJEQAXUhqM,NYC,,,0.0,,,False
Sra. Martinez Coral Gables,Sra Martinez,,ChIJE71m6CK32YgRvzVM73VTlts,FL,,,0.0,,,False
Sweet Rose Creamery Brentwood Country Mart,Sweet Rose Creamery - Brentwood Country Mart,,ChIJx3qVjFWjwoARvcJ3GGZ4YJQ,LA,,,0.0,,,False
Tia Pol Chelsea,Tia Pol,,ChIJ8RjtPrhZwokRVZXEfLUKtM4,NYC,,,0.0,,,False
Moody Tongue Sushi West Village,Moody Tongue Sushi,,ChIJGUJaVtVZwokR3VU_JU2pedg,NYC,,,0.0,,,False
Roberta's Bushwick,Roberta's,261 Moore St,ChIJzSOyOg1dwokRfQ-5htUfsRY,NYC,,,0.0,,,False
gertrude's Prospect Heights,Gertrude’s,605 Carlton Ave,ChIJnRyRtUBbwokR4veV9Er_PAU,NYC,,,0.0,,,False
Nudibranch East Village,Nudibranch,125 1st Ave.,ChIJ5Qa2Xu9ZwokRIyvK1rhdwgw,NYC,,,0.0,,,False
Renzo Hampton Park Terrace,Renzo,384 Huger Street,ChIJbT5P4Fp6_ogRM6yv6hvX3k8,CHS,,,0.0,,,False
Nom Wah Pier 57,Nom Wah at Market 57,,ChIJeW_dJC5ZwokRaQfG-JI-bYc,NYC,,,0.0,,,False
GupShup Gramercy,GupShup,"115 E 18th St (Between Park Ave &, Irving Pl",ChIJvYavzZ5ZwokRBQj3hhDtpfk,NYC,,,0.0,,,False
Mino Brasserie West Village,Mino,225 W 12th St,ChIJh0Elkf1ZwokRrFXIVkSPvKU,NYC,,,0.0,,,False
Bangkok Supper Club Messaging as a Service / VIP Handling,Bangkok Supper Club,641 Hudson St,ChIJvduhDjVZwokReg77D1pNQaQ,NYC,,,0.0,,,False
Arthur and Sons West Village,Arthur & Sons,38 8th Avenue,ChIJw2RCuSZZwokRVt7nWZNROm0,NYC,,,0.0,,,False
Crave Sushi Bar Midtown East,Crave Sushi Bar,947 2nd Ave,ChIJkdJZKBRZwokRwhNrDEm_t8c,NYC,,,0.0,,,False
Mattina Mattina,Mattina,2232 Bush Street,ChIJYTzmaFiBhYARlEFG6VasHl4,SF,,,0.0,,,False
Palette Tea House Noma,Palette Tea House,900 North Point Street,ChIJ53HCdjCBhYARI-_VU7jZI-U,SF,,,0.0,,,False
Semma Greenwich,Semma,60 Greenwich Ave,ChIJxZmzO7hZwokRx2fls4uU4YU,NYC,,,0.0,,,False
Diner Williamsburg,Diner,85 Broadway,ChIJvzYmKtlbwokRHye6SmfknDM,NYC,,,0.0,,,False
Brenda's French Soul Food Tenderloin,Brenda's French Soul Food,652 Polk Street,ChIJZ9s5SJeAhYARIX3Fxl6oj6c,SF,,,0.0,,,False
